,home_team,away_team,score,kick_off_time,home_goals,away_goals,date,referee,stadium,attendance,season
234,Derry City,St Patrick's Athletic,3 - 1,19:45,"D. Mullen 16'
P. Hoban 51'
D. Mullen 56'",54' C. Keeley,2024-04-22,"""Kevin O'Sullivan""",'The Ryan McBride Brandywell Stadium',2691,2024
235,Shelbourne,Shamrock Rovers,0 - 0,19:45,,,2024-04-22,'Robert Hennessy','Tolka Park',4628,2024
236,Drogheda United,Sligo Rovers,3 - 1,19:45,"D. Markey 24'
F. Pierrot 69'
A. McNally 86'",6' W. Fitzgerald,2024-04-26,'Mark Houlihan','Weavers Park',1694,2024
237,Dundalk,Bohemians,2 - 0,19:45,"S. High 13'
R. Benson 35'",,2024-04-26,'Robert Hennessy','Oriel Park',2770,2024
238,Shelbourne,St Patrick's Athletic,1 - 0,19:45,J. Martin 33',,2024-04-26,'Robert Harvey','Tolka Park',4755,2024
239,Waterford,Derry City,0 - 2,19:45,,"38' W. Patching
74' P. Hoban",2024-04-26,'Alan Patchell','Waterford Regional Sports Centre',2264,2024
240,Shamrock Rovers,Galway United,1 - 1,20:00,J. Kenny 84',55' S. Walsh,2024-04-26,'David Dunne','Tallaght Stadium',5629,2024
241,Bohemians,Shamrock Rovers,1 - 1,19:45,F. Piszczek 23',42' J. Kenny,2024-05-03,'Damien MacGraith','Dalymount Park',4429,2024
242,Dundalk,Shelbourne,0 - 0,19:45,,,2024-05-03,"""Eoghan O'Shea""",'Oriel Park',2806,2024
243,Galway United,Derry City,0 - 0,19:45,,,2024-05-03,'Robert Hennessy','Eamonn Deacy Park',2213,2024
244,Sligo Rovers,Waterford,0 - 1,20:00,,46' C. Pattisson,2024-05-03,'Gavin Colfer','The Showgrounds',2087,2024
245,St Patrick's Athletic,Drogheda United,1 - 0,19:45,R. Keating 45',,2024-05-03,'Declan Toland','Richmond Park',3765,2024
246,Bohemians,Galway United,0 - 1,17:00,,18' M. Nugent,2024-05-06,'Paul Norton','Dalymount Park',4101,2024
247,Derry City,Shelbourne,1 - 1,19:45,P. McMullan 56',89' S. Boyd,2024-05-06,'Robert Clarke','The Ryan McBride Brandywell Stadium',2578,2024
248,Drogheda United,Dundalk,2 - 1,13:00,"F. Pierrot 55'
H. Cann 94'",78' J. Gullan,2024-05-06,'Robert Harvey','Weavers Park',2339,2024
249,Shamrock Rovers,Waterford,1 - 3,17:00,"L. Pöhls 3'
J. Kenny 8'","17' D. McMenamy
54' C. Parsons",2024-05-06,"""Eoghan O'Shea""",'Tallaght Stadium',4843,2024
250,Sligo Rovers,St Patrick's Athletic,1 - 0,17:00,E. Chapman 22',,2024-05-06,'David Dunne','The Showgrounds',2548,2024
251,Derry City,Bohemians,1 - 0,19:45,M. Duffy 85',,2024-05-10,'Robert Harvey','The Ryan McBride Brandywell Stadium',2574,2024
252,Galway United,Sligo Rovers,0 - 0,19:45,,,2024-05-10,'Damien MacGraith','Eamonn Deacy Park',2912,2024
253,Shelbourne,Drogheda United,1 - 1,19:45,S. Boyd 60',3' F. Pierrot,2024-05-10,'Gavin Colfer','Tolka Park',3598,2024
254,Waterford,Dundalk,4 - 1,19:45,"M. Asamoah 2'
M. Asamoah 44'
C. Pattisson 53'
M. Asamoah 76'",22' R. Benson,2024-05-10,'David Dunne','Waterford Regional Sports Centre',2178,2024
255,Shamrock Rovers,St Patrick's Athletic,2 - 2,19:45,"A. Greene 4'
D. Cleary 60'","23' L. Turner
64' M. Melia",2024-05-10,'Paul McLaughlin','Tallaght Stadium',7073,2024
256,Drogheda United,Galway United,2 - 3,19:45,"E. Weir 24'
Z. Bawa 73'","4' R. Slevin
91' M. Nugent
94' S. Walsh",2024-05-17,'Declan Toland','Weavers Park',1697,2024
257,Dundalk,Shamrock Rovers,1 - 0,20:15,J. Mountney 91',,2024-05-17,'Alan Patchell','Oriel Park',2530,2024
